ticker,short_name,currency,exchange,quote_type,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,profit_margins,revenue_growth,earnings_growth,last_close_5d,fifty_two_week_high,fifty_two_week_low,cik,sec_edgar_url,sec_company_search_url,data_source
PWR,"Quanta Services, Inc.",USD,NYQ,EQUITY,Industrials,Engineering & Construction,111794806784.0,117848072192.0,102.33516,45.691307,12.467158,0.03668,0.263,0.51,745.0,788.75,320.56,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=PWR,yfinance (indicative)
NRG,"NRG Energy, Inc.",USD,NYQ,EQUITY,Utilities,Utilities - Independent Power Producers,29139341312.0,53213683712.0,151.76923,12.138134,25.50037,0.00738,0.195,-0.856,138.110001,189.96,117.44,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=NRG,yfinance (indicative)
NXE,Nexgen Energy Ltd.,USD,NYQ,EQUITY,Energy,Uranium,8035276800.0,7737965056.0,,-73.169876,6.026703,0.0,,,12.14,13.96,5.29,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=NXE,yfinance (indicative)
LEU,Centrus Energy Corp.,USD,NYQ,EQUITY,Energy,Uranium,4078760448.0,3389160448.0,75.667885,52.158493,5.261248,0.13398,0.049,-0.719,207.330002,464.25,88.47,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LEU,yfinance (indicative)
FSLR,"First Solar, Inc.",USD,NMS,EQUITY,Technology,Solar,23634366464.0,21794928640.0,14.21784,9.173834,2.474601,0.30731,0.236,0.651,219.949997,285.99,133.75,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=FSLR,yfinance (indicative)
ENPH,"Enphase Energy, Inc.",USD,NGM,EQUITY,Technology,Solar,4804045312.0,4485531136.0,36.08911,14.932651,4.357442,0.09644,-0.206,,36.450001,54.43,25.78,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ENPH,yfinance (indicative)
NEE,"NextEra Energy, Inc.",USD,NYQ,EQUITY,Utilities,Utilities - Regulated Electric,194145288192.0,307960283136.0,23.62944,21.20898,3.515728,0.29369,0.073,1.6,93.099998,98.75,63.88,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=NEE,yfinance (indicative)
ASTS,"AST SpaceMobile, Inc.",USD,NMS,EQUITY,Technology,Communication Equipment,29123674112.0,22417086464.0,,-456.48077,11.633855,0.0,27.313,,75.050003,129.89,22.47,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ASTS,yfinance (indicative)
LUNR,"Intuitive Machines, Inc.",USD,NGM,EQUITY,Industrials,Aerospace & Defense,4634095104.0,5365242368.0,,134.74419,-4.653815,-0.39653,-0.181,,28.969999,31.15,7.78,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LUNR,yfinance (indicative)
PL,Planet Labs PBC,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,13913589760.0,12020681728.0,,-1735.1111,69.466194,-0.8022,0.411,,39.040001,41.71,3.47,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=PL,yfinance (indicative)
SPIR,"Spire Global, Inc.",USD,NYQ,EQUITY,Industrials,Specialty Business Services,712415296.0,551105088.0,12.409396,-32.15652,5.420698,0.71702,-0.269,,18.49,23.59,6.6,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=SPIR,yfinance (indicative)
KTOS,Kratos Defense & Security Solut,USD,NMS,EQUITY,Industrials,Aerospace & Defense,10855531520.0,9576632320.0,340.52942,53.833138,4.897217,0.02077,0.226,1.306,57.889999,134.0,32.85,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KTOS,yfinance (indicative)
RDW,Redwire Corporation,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,2202030080.0,2254969600.0,,-24.065216,1.993517,-0.809,0.579,,11.07,22.25,4.87,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=RDW,yfinance (indicative)
LMT,Lockheed Martin Corporation,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,116782776320.0,135585775616.0,24.504597,15.787307,15.555726,0.06382,0.003,-0.115,506.51001,692.0,410.11,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LMT,yfinance (indicative)
RTX,RTX Corporation,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,237137477632.0,271008481280.0,32.975655,23.324722,3.622729,0.08029,0.087,0.325,176.089996,214.5,126.03,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=RTX,yfinance (indicative)
NOC,Northrop Grumman Corporation,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,78050238464.0,93534232576.0,17.21554,18.182722,4.560332,0.10801,0.044,0.849,549.52002,774.0,453.01,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=NOC,yfinance (indicative)
GD,General Dynamics Corporation,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,93712171008.0,99749134336.0,21.808054,19.184032,3.587973,0.08068,0.103,0.12,346.529999,369.7,267.39,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=GD,yfinance (indicative)
HII,"Huntington Ingalls Industries, ",USD,NYQ,EQUITY,Industrials,Aerospace & Defense,12462705664.0,15177706496.0,20.551006,15.374737,2.446549,0.04709,0.134,0.0,316.279999,460.0,215.05,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HII,yfinance (indicative)
BWXT,"BWX Technologies, Inc.",USD,NYQ,EQUITY,Industrials,Aerospace & Defense,18811236352.0,20316633088.0,55.796196,39.55866,15.232197,0.10205,0.261,0.207,205.330002,241.82,105.07,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=BWXT,yfinance (indicative)
RGTI,"Rigetti Computing, Inc.",USD,NCM,EQUITY,Technology,Computer Hardware,6294624768.0,5854587392.0,,-104.57733,11.485749,0.0,-0.179,,18.940001,58.15,9.85,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=RGTI,yfinance (indicative)
QBTS,D-Wave Quantum Inc.,USD,NYQ,EQUITY,Technology,Computer Hardware,8360524288.0,7507928064.0,,-61.0,9.499159,0.0,0.192,,22.57,46.75,9.83,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=QBTS,yfinance (indicative)
QUBT,Quantum Computing Inc.,USD,NCM,EQUITY,Technology,Computer Hardware,2165012736.0,1040843264.0,,-33.10345,1.346424,0.0,2.194,,9.6,25.84,6.18,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=QUBT,yfinance (indicative)
ARQQ,Arqit Quantum Inc.,USD,NCM,EQUITY,Technology,Software - Infrastructure,234151808.0,197892816.0,,-14.113209,8.399776,0.0,,,14.96,62.0,11.52,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ARQQ,yfinance (indicative)
IBM,International Business Machines,USD,NYQ,EQUITY,Technology,Information Technology Services,215948050432.0,274048040960.0,20.314764,17.077778,6.549041,0.15606,0.095,0.142,229.759995,324.9,220.72,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IBM,yfinance (indicative)
INTC,Intel Corporation,USD,NMS,EQUITY,Technology,Semiconductors,627847921664.0,653559267328.0,,81.60652,5.458836,-0.05904,0.072,,124.919998,130.57,18.97,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=INTC,yfinance (indicative)
MTSI,MACOM Technology Solutions Hold,USD,NMS,EQUITY,Technology,Semiconductors,27457325056.0,25674932224.0,146.8898,52.57668,19.95011,0.1646,0.225,0.429,359.880005,363.9999,117.17,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MTSI,yfinance (indicative)
KEYS,Keysight Technologies Inc.,USD,NYQ,EQUITY,Technology,Scientific & Technical Instruments,61792346112.0,62386348032.0,63.433098,34.865253,9.958265,0.16946,0.233,0.68,360.299988,367.12,152.52,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KEYS,yfinance (indicative)
CYBR,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=CYBR,yfinance (indicative)
PANW,"Palo Alto Networks, Inc.",USD,NMS,EQUITY,Technology,Software - Infrastructure,168590688256.0,165553078272.0,114.85084,52.366547,15.558716,0.12957,0.149,0.605,207.880005,223.61,139.57,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=PANW,yfinance (indicative)
CRWD,"CrowdStrike Holdings, Inc.",USD,NMS,EQUITY,Technology,Software - Infrastructure,134336749568.0,129484079104.0,,85.56528,30.196247,-0.03377,0.233,,527.77002,566.9,342.72,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=CRWD,yfinance (indicative)
ZS,"Zscaler, Inc.",USD,NMS,EQUITY,Technology,Software - Infrastructure,24461090816.0,22814775296.0,,33.160408,11.123867,-0.02253,0.259,,152.130005,336.99,114.625,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ZS,yfinance (indicative)
OKTA,"Okta, Inc.",USD,NMS,EQUITY,Technology,Software - Infrastructure,14711567360.0,12738897920.0,64.04581,19.831985,2.126042,0.08051,0.116,1.708,83.900002,127.567,62.66,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=OKTA,yfinance (indicative)
